season,weapon,gender,category,rho,pvalue,rho_ts,pvalue_ts,rho2,pvalue2,n_fencers
2023/2024,Foil,Womens,Veterans,0.6484,8.460525855436723e-12,0.7508,3.694098971230966e-17,0.8401,1.4513815877392051e-24,88
2024/2025,Foil,Womens,Veterans,0.6721,4.926235544101016e-16,0.795,1.2569364237011093e-25,0.8607,4.868031123265309e-34,112
2015/2016,Sabre,Mens,Cadet,0.9036,3.880504128799778e-06,0.9571,2.2736751556259772e-08,0.9321,4.241218231543346e-07,15
2016/2017,Sabre,Mens,Cadet,0.9265,9.329882323638342e-08,0.9534,3.2849947662852595e-09,0.924,1.1844905443995688e-07,17
2017/2018,Sabre,Mens,Cadet,0.9417,2.1126675899307013e-11,0.9417,2.1126675899307013e-11,0.9091,1.937423986061786e-09,23
2018/2019,Sabre,Mens,Cadet,0.9469,7.979727229407678e-13,0.9646,8.218109934217622e-15,0.9546,1.3693264288999668e-13,25
2020/2021,Sabre,Mens,Cadet,-0.1099,0.7208097995138618,0.2582,0.3942840173973614,0.7967,0.001113652652268588,13
2024/2025,Sabre,Mens,Cadet,0.8929,3.300503869584626e-11,0.9398,1.3835491861546079e-14,0.8865,7.079713950546576e-11,30
2025/2026,Sabre,Mens,Cadet,0.8685,8.92385914189381e-53,0.8785,1.8787537601286076e-55,0.9368,4.556473725990685e-78,169
2014/2015,Sabre,Mens,Junior,0.68,3.427204306008094e-20,0.6501,4.770218489438071e-18,0.9433,1.779294892412688e-67,139
2015/2016,Sabre,Mens,Junior,0.7446,2.3713851880100958e-26,0.7209,4.72623913622452e-24,0.9329,5.924626524034134e-64,142
2016/2017,Sabre,Mens,Junior,0.7597,9.055904789868595e-31,0.7661,1.4507719624154637e-31,0.9434,3.2803143552656955e-76,157
2017/2018,Sabre,Mens,Junior,0.785,7.598774775173202e-34,0.7433,1.1111346475670605e-28,0.9442,3.5125931329645526e-76,156
2018/2019,Sabre,Mens,Junior,0.7667,1.156159905750448e-30,0.7918,6.204180406649742e-34,0.9199,7.450303317423237e-63,152
2019/2020,Sabre,Mens,Junior,0.8164,1.021537948889773e-34,0.8107,6.746593402782231e-34,0.9302,6.178743038404267e-62,140
2020/2021,Sabre,Mens,Junior,0.7582,0.0026660786121372876,0.8297,0.000450286295546213,0.9286,4.607427269933691e-06,13
2021/2022,Sabre,Mens,Junior,0.8395,1.3841756123085359e-33,0.8518,1.692654327604846e-35,0.9534,2.8671437762251572e-64,122
2022/2023,Sabre,Mens,Junior,0.7911,4.656979197706506e-37,0.7553,4.265464869625559e-32,0.9278,1.4496095918724861e-72,167
2023/2024,Sabre,Mens,Junior,0.7616,8.832721177398423e-28,0.716,2.723930814299106e-23,0.9404,1.6787881137173986e-66,140
2024/2025,Sabre,Mens,Junior,0.7932,1.7823893530846524e-46,0.7645,2.4701179758224854e-41,0.9231,7.404446294425802e-88,209
2025/2026,Sabre,Mens,Junior,0.8303,1.6580098814608398e-69,0.8084,3.573596946933534e-63,0.9432,2.7944780385350802e-129,268
2014/2015,Sabre,Mens,Senior,0.7528,5.789529355422587e-102,0.7085,2.7285907509188043e-85,0.9614,2.68543509999277e-310,552
2015/2016,Sabre,Mens,Senior,0.8295,2.191147481327769e-150,0.784,1.936391613748821e-123,0.9569,0.0,588
2016/2017,Sabre,Mens,Senior,0.825,2.0598193824957028e-138,0.7785,2.3315869531308665e-113,0.9525,3.599446846168178e-286,552
2017/2018,Sabre,Mens,Senior,0.8306,2.3981463740837908e-151,0.774,1.2661058548739168e-118,0.9593,0.0,589
2018/2019,Sabre,Mens,Senior,0.8726,2.247474833978592e-186,0.8369,4.141429445927911e-157,0.9586,0.0,594
2019/2020,Sabre,Mens,Senior,0.8367,5.0380985074289844e-104,0.8129,1.4100961487553643e-93,0.9571,8.124300268821823e-212,392
2020/2021,Sabre,Mens,Senior,0.6213,1.1500870539782084e-24,0.6127,7.388849663665881e-24,0.8877,1.1003960004729046e-74,218
2021/2022,Sabre,Mens,Senior,0.8957,3.966730449864111e-178,0.8703,6.386086439730092e-156,0.9601,8.033993838711662e-279,502
2022/2023,Sabre,Mens,Senior,0.8787,1.168809810767142e-208,0.8554,7.773068866410333e-186,0.9608,0.0,645
2023/2024,Sabre,Mens,Senior,0.8479,2.201849882539555e-187,0.8395,3.4638659994002535e-180,0.9528,0.0,674
2024/2025,Sabre,Mens,Senior,0.8513,1.482081927127036e-212,0.8299,1.7197371761620853e-192,0.9575,0.0,753
2025/2026,Sabre,Mens,Senior,0.8464,5.883284962547722e-219,0.822,7.722516636201275e-196,0.9544,0.0,794
2015/2016,Sabre,Mens,Veterans,0.8959,7.529215761657627e-40,0.9039,1.249226254175678e-41,0.9162,1.0556271555005048e-44,110
2016/2017,Sabre,Mens,Veterans,0.8199,1.2689158463398416e-29,0.8308,4.847636823800635e-31,0.8757,3.708625918019659e-38,117
2023/2024,Sabre,Mens,Veterans,0.6799,9.89569717141759e-18,0.7299,2.1742663474157775e-21,0.9249,8.468382904982613e-52,121
2024/2025,Sabre,Mens,Veterans,0.6675,1.5751817429111912e-19,0.6845,8.12730206041092e-21,0.8907,1.9016658479615333e-49,141
2015/2016,Sabre,Womens,Cadet,0.85,5.9958885253110194e-05,0.9321,4.241218231543346e-07,0.8643,3.243373143346799e-05,15
2016/2017,Sabre,Womens,Cadet,0.7455,0.013330146315440054,0.9273,0.00011203450639397586,0.7697,0.009221952722215994,10
2017/2018,Sabre,Womens,Cadet,0.8933,3.169966460918515e-06,0.9713,3.984002195792929e-10,0.9118,8.818985741384046e-07,16
