fie_season,weapon,gender,category,rho,pvalue,rho_ts,pvalue_ts,rho2,pvalue2,n_fencers
2017/2018,Epee,Womens,Senior,0.8082,1.791959158807156e-173,0.7802,5.80803021785348e-154,0.9641,0.0,747
2018/2019,Epee,Womens,Senior,0.8559,1.4153838892628438e-227,0.8259,4.4024026418045845e-198,0.9638,0.0,789
2019/2020,Epee,Womens,Senior,0.8132,1.808214749035085e-154,0.8125,5.427406909748907e-154,0.9565,0.0,650
2020/2021,Epee,Womens,Senior,0.4546,7.121882011613657e-13,0.4788,2.6909644676327613e-14,0.9051,8.360991124298369e-85,225
2021/2022,Epee,Womens,Senior,0.8772,2.5309502245101144e-178,0.8184,3.4529731537011544e-135,0.9431,1.254603802748698e-266,555
2022/2023,Epee,Womens,Senior,0.8648,3.6971880531732735e-236,0.8581,1.2960323984558151e-228,0.9603,0.0,784
2023/2024,Epee,Womens,Senior,0.8671,4.149151762781705e-220,0.8331,2.212960703723329e-187,0.9681,0.0,722
2024/2025,Epee,Womens,Senior,0.8624,4.264316048102416e-246,0.8451,1.3238540958735554e-226,0.9551,0.0,827
2025/2026,Epee,Womens,Senior,0.83,6.339090486995175e-234,0.7974,1.1706770147453426e-202,0.9527,0.0,916
2015/2016,Epee,Womens,Veterans,0.8401,2.3841222684814516e-21,0.872,1.1670027147606787e-24,0.9246,9.728652931174285e-33,76
2016/2017,Epee,Womens,Veterans,0.8087,9.267040638478072e-22,0.8029,2.9795668087760262e-21,0.8906,1.6323143921769598e-31,89
2023/2024,Epee,Womens,Veterans,0.6679,8.707939607664822e-16,0.7148,8.720618825959622e-19,0.922,3.7913788329721526e-47,112
2024/2025,Epee,Womens,Veterans,0.6543,6.23033463894683e-20,0.7168,2.9389759849368636e-25,0.8925,1.0136706375206642e-53,152
2015/2016,Foil,Mens,Cadet,0.7601,0.004117380355680861,0.8252,0.0009513628555555001,0.9632,4.980487485963565e-07,12
2016/2017,Foil,Mens,Cadet,0.9752,3.0639981367818577e-15,0.9615,2.985870976337925e-13,0.9485,5.958554996784984e-12,23
2017/2018,Foil,Mens,Cadet,0.9209,2.2683311338881794e-08,0.9211,2.2361332893791867e-08,0.9596,8.625545871262736e-11,19
2018/2019,Foil,Mens,Cadet,0.8834,5.387731687101419e-07,0.9136,4.7092740379436045e-08,0.9692,8.793424776919332e-12,19
2020/2021,Foil,Mens,Cadet,-0.4424,0.20042268671194213,-0.2727,0.4458383415427516,0.8182,0.003814920082550713,10
2024/2025,Foil,Mens,Cadet,0.9531,5.926615948978015e-14,0.9714,1.6747151734504848e-16,0.9707,2.2608691837163554e-16,26
2025/2026,Foil,Mens,Cadet,0.8312,2.679646384664439e-39,0.8709,3.2913801774927815e-47,0.9384,9.697334149028753e-70,149
2014/2015,Foil,Mens,Junior,0.5882,1.4055499465717733e-11,0.4988,2.931185177922932e-08,0.9124,1.0345181749773955e-43,110
2015/2016,Foil,Mens,Junior,0.7606,1.8005060701534657e-20,0.6775,5.323345116739165e-15,0.9313,1.1381238294016981e-45,102
2016/2017,Foil,Mens,Junior,0.6769,1.071156973765797e-14,0.6357,1.1953288533814356e-12,0.9008,2.813278975719748e-37,100
2017/2018,Foil,Mens,Junior,0.6486,1.3524398356268865e-10,0.5733,4.105785111054023e-08,0.9443,2.019053486890535e-38,78
2018/2019,Foil,Mens,Junior,0.7418,2.1004692088919285e-19,0.614,4.1863787191129086e-12,0.9385,6.701531075930538e-49,104
2019/2020,Foil,Mens,Junior,0.7397,8.08395879049154e-21,0.7281,6.456586950901056e-20,0.9436,4.293513103947914e-55,113
2020/2021,Foil,Mens,Junior,0.7732,0.00016785365142146455,0.7131,0.0008932304748108607,0.9186,7.509956432935544e-08,18
2021/2022,Foil,Mens,Junior,0.7473,1.7690681620613215e-17,0.7172,1.2801410448993545e-15,0.9571,1.2009655972855085e-49,91
2022/2023,Foil,Mens,Junior,0.7761,3.083681624234608e-31,0.7174,7.64813234031308e-25,0.9441,1.0240031110733278e-72,149
2023/2024,Foil,Mens,Junior,0.8213,5.470950875190405e-33,0.7896,6.291432264865241e-29,0.9567,1.757730045695308e-70,130
2024/2025,Foil,Mens,Junior,0.7722,1.9256450040560053e-43,0.7588,3.6823506039485444e-41,0.9546,5.656443582926563e-113,213
2025/2026,Foil,Mens,Junior,0.8398,2.0056441681344735e-54,0.848,1.6727389964187996e-56,0.9551,1.5126642902262397e-106,200
2014/2015,Foil,Mens,Senior,0.7606,8.916717938502579e-129,0.7055,4.985113089023262e-103,0.9658,0.0,677
2015/2016,Foil,Mens,Senior,0.7956,3.006545426166952e-144,0.7516,3.987898249126542e-120,0.9539,0.0,655
2016/2017,Foil,Mens,Senior,0.8224,7.311420809750088e-188,0.7704,2.5502006972246833e-150,0.9556,0.0,760
2017/2018,Foil,Mens,Senior,0.7951,5.830778016467354e-184,0.7554,7.541370673476792e-156,0.9627,0.0,839
2018/2019,Foil,Mens,Senior,0.8634,8.964585989170447e-227,0.8518,1.7752640940903644e-214,0.9527,0.0,758
2019/2020,Foil,Mens,Senior,0.8261,8.729630516739143e-166,0.845,9.622462993073213e-181,0.9546,0.0,659
2020/2021,Foil,Mens,Senior,0.447,4.996993400467511e-10,0.4635,9.298939908870704e-11,0.9133,8.465551966383862e-70,176
2021/2022,Foil,Mens,Senior,0.8462,7.78792629580106e-165,0.8284,6.848703118604749e-152,0.9571,0.0,597
2022/2023,Foil,Mens,Senior,0.8701,4.485504233594451e-252,0.8728,1.6387402134068205e-255,0.9588,0.0,815
2023/2024,Foil,Mens,Senior,0.8713,7.083555398169109e-280,0.8464,5.279608676377961e-248,0.9605,0.0,900
2024/2025,Foil,Mens,Senior,0.8814,1.8675639306079423e-295,0.861,1.6252089214962514e-266,0.9615,0.0,902
2025/2026,Foil,Mens,Senior,0.8513,1.8377515498160967e-271,0.8198,6.037954009775726e-235,0.962,0.0,963
2015/2016,Foil,Mens,Veterans,0.8766,1.6743864262665775e-34,0.9126,8.483462511497773e-42,0.8683,3.887946192013425e-33,105
2016/2017,Foil,Mens,Veterans,0.9158,5.7796991042562026e-49,0.9078,9.803726172785072e-47,0.9076,1.1432677835319402e-46,121
2023/2024,Foil,Mens,Veterans,0.8016,5.0026629135422517e-29,0.8273,2.4506793921571126e-32,0.8845,3.2015171229845385e-42,124
2024/2025,Foil,Mens,Veterans,0.6309,1.8430539158037544e-16,0.7905,2.5822549355478598e-30,0.8488,6.591937495412433e-39,136
