weapon,gender,season,category,pool_weight,alpha,rho_vs_baseline,n_fencers
Epee,Mens,2024/2025,Senior,0.5,0.85,0.9949,1072
Epee,Mens,2025/2026,Senior,0.5,0.85,0.9937,1220
Epee,Mens,2013/2014,Senior,1.0,0.85,0.9364,255
Epee,Mens,2014/2015,Senior,1.0,0.85,0.9837,1191
Epee,Mens,2015/2016,Senior,1.0,0.85,0.982,1011
Epee,Mens,2016/2017,Senior,1.0,0.85,0.9829,1092
Epee,Mens,2017/2018,Senior,1.0,0.85,0.9822,1057
Epee,Mens,2018/2019,Senior,1.0,0.85,0.9837,1049
Epee,Mens,2019/2020,Senior,1.0,0.85,0.9815,807
Epee,Mens,2020/2021,Senior,1.0,0.85,0.9328,260
Epee,Mens,2021/2022,Senior,1.0,0.85,0.983,679
Epee,Mens,2022/2023,Senior,1.0,0.85,0.9867,1094
Epee,Mens,2023/2024,Senior,1.0,0.85,0.9853,962
Epee,Mens,2024/2025,Senior,1.0,0.85,0.9859,1072
Epee,Mens,2025/2026,Senior,1.0,0.85,0.9827,1220
Epee,Mens,2013/2014,Senior,0.2,0.9,0.9989,255
Epee,Mens,2014/2015,Senior,0.2,0.9,0.998,1191
Epee,Mens,2015/2016,Senior,0.2,0.9,0.998,1011
Epee,Mens,2016/2017,Senior,0.2,0.9,0.9978,1092
Epee,Mens,2017/2018,Senior,0.2,0.9,0.9979,1057
Epee,Mens,2018/2019,Senior,0.2,0.9,0.998,1049
Epee,Mens,2019/2020,Senior,0.2,0.9,0.9985,807
Epee,Mens,2020/2021,Senior,0.2,0.9,0.9991,260
Epee,Mens,2021/2022,Senior,0.2,0.9,0.9992,679
Epee,Mens,2022/2023,Senior,0.2,0.9,0.9986,1094
Epee,Mens,2023/2024,Senior,0.2,0.9,0.9984,962
Epee,Mens,2024/2025,Senior,0.2,0.9,0.9987,1072
Epee,Mens,2025/2026,Senior,0.2,0.9,0.9984,1220
Sabre,Mens,2014/2015,Senior,0.1,0.85,0.9961,562
Sabre,Mens,2015/2016,Senior,0.1,0.85,0.996,608
Sabre,Mens,2016/2017,Senior,0.1,0.85,0.9965,580
Sabre,Mens,2017/2018,Senior,0.1,0.85,0.9965,601
Sabre,Mens,2018/2019,Senior,0.1,0.85,0.9971,623
Sabre,Mens,2019/2020,Senior,0.1,0.85,0.9959,396
Sabre,Mens,2020/2021,Senior,0.1,0.85,0.9921,230
Sabre,Mens,2021/2022,Senior,0.1,0.85,0.9955,509
Sabre,Mens,2022/2023,Senior,0.1,0.85,0.9959,649
Sabre,Mens,2023/2024,Senior,0.1,0.85,0.9963,686
Sabre,Mens,2024/2025,Senior,0.1,0.85,0.9952,961
Sabre,Mens,2025/2026,Senior,0.1,0.85,0.9951,795
Sabre,Mens,2014/2015,Senior,0.5,0.85,0.9937,562
Sabre,Mens,2015/2016,Senior,0.5,0.85,0.9939,608
Sabre,Mens,2016/2017,Senior,0.5,0.85,0.9939,580
Sabre,Mens,2017/2018,Senior,0.5,0.85,0.9944,601
Sabre,Mens,2018/2019,Senior,0.5,0.85,0.9948,623
Sabre,Mens,2019/2020,Senior,0.5,0.85,0.9929,396
Sabre,Mens,2020/2021,Senior,0.5,0.85,0.977,230
Sabre,Mens,2021/2022,Senior,0.5,0.85,0.9918,509
Sabre,Mens,2022/2023,Senior,0.5,0.85,0.9939,649
Sabre,Mens,2023/2024,Senior,0.5,0.85,0.9927,686
Sabre,Mens,2024/2025,Senior,0.5,0.85,0.9915,961
Sabre,Mens,2025/2026,Senior,0.5,0.85,0.9922,795
Sabre,Mens,2014/2015,Senior,1.0,0.85,0.9832,562
Sabre,Mens,2015/2016,Senior,1.0,0.85,0.9851,608
Sabre,Mens,2016/2017,Senior,1.0,0.85,0.984,580
Sabre,Mens,2017/2018,Senior,1.0,0.85,0.9853,601
Sabre,Mens,2018/2019,Senior,1.0,0.85,0.9862,623
Sabre,Mens,2019/2020,Senior,1.0,0.85,0.9796,396
Sabre,Mens,2020/2021,Senior,1.0,0.85,0.9242,230
Sabre,Mens,2021/2022,Senior,1.0,0.85,0.9772,509
Sabre,Mens,2022/2023,Senior,1.0,0.85,0.9847,649
Sabre,Mens,2023/2024,Senior,1.0,0.85,0.9805,686
Sabre,Mens,2024/2025,Senior,1.0,0.85,0.9762,961
Sabre,Mens,2025/2026,Senior,1.0,0.85,0.9796,795
Sabre,Mens,2014/2015,Senior,0.2,0.9,0.9987,562
Sabre,Mens,2015/2016,Senior,0.2,0.9,0.9984,608
Sabre,Mens,2016/2017,Senior,0.2,0.9,0.9986,580
Sabre,Mens,2017/2018,Senior,0.2,0.9,0.9989,601
Sabre,Mens,2018/2019,Senior,0.2,0.9,0.9986,623
Sabre,Mens,2019/2020,Senior,0.2,0.9,0.9985,396
Sabre,Mens,2020/2021,Senior,0.2,0.9,0.9996,230
Sabre,Mens,2021/2022,Senior,0.2,0.9,0.9985,509
Sabre,Mens,2022/2023,Senior,0.2,0.9,0.9983,649
Sabre,Mens,2023/2024,Senior,0.2,0.9,0.9982,686
Sabre,Mens,2024/2025,Senior,0.2,0.9,0.9985,961
Sabre,Mens,2025/2026,Senior,0.2,0.9,0.9979,795
